epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,12948,0.73902,0.71035,1.03144,0.37231,0.30485,0.31947,0.19931,1.26833,2.36184,1.53822,0.0002971,0.0002971,0.0002971
73,13103.3,0.73729,0.71976,1.03437,0.36389,0.3217,0.31361,0.1931,1.27653,2.56457,1.5659,0.0002872,0.0002872,0.0002872
74,13253.3,0.74912,0.69687,1.04912,0.36437,0.29581,0.29112,0.17832,1.30598,2.52686,1.6296,0.0002773,0.0002773,0.0002773
75,13406.3,0.71204,0.68646,1.03597,0.31283,0.30434,0.28844,0.17629,1.31966,2.51819,1.6243,0.0002674,0.0002674,0.0002674
76,13563.4,0.72255,0.69935,1.05911,0.37965,0.30067,0.28999,0.18192,1.2664,2.47895,1.56814,0.0002575,0.0002575,0.0002575
77,13736.9,0.71133,0.69283,1.02493,0.36738,0.34005,0.29457,0.18927,1.24584,2.42879,1.5532,0.0002476,0.0002476,0.0002476
78,13892.1,0.69201,0.70189,1.02817,0.32776,0.37755,0.30098,0.18946,1.28284,2.45618,1.53376,0.0002377,0.0002377,0.0002377
79,14045.1,0.70772,0.66733,1.02238,0.37256,0.35711,0.31959,0.20793,1.24042,2.47789,1.48937,0.0002278,0.0002278,0.0002278
80,14199.5,0.67655,0.67283,1.02388,0.34363,0.40022,0.32416,0.21388,1.18584,2.4931,1.48481,0.0002179,0.0002179,0.0002179
81,14354.7,0.69144,0.65494,1.0062,0.45362,0.33129,0.33027,0.21392,1.19249,2.52904,1.48592,0.000208,0.000208,0.000208
82,14506.9,0.67875,0.63455,1.01465,0.42823,0.38481,0.33711,0.21478,1.24134,2.60667,1.53169,0.0001981,0.0001981,0.0001981
83,14658.9,0.69222,0.64108,1.01711,0.29239,0.40234,0.32068,0.20424,1.20981,2.68192,1.53515,0.0001882,0.0001882,0.0001882
84,14806.7,0.65128,0.63321,1.01857,0.35033,0.31926,0.30727,0.19808,1.22046,2.69964,1.52927,0.0001783,0.0001783,0.0001783
85,14955.6,0.65264,0.6019,1.01499,0.33076,0.38136,0.30585,0.19763,1.22091,2.63219,1.52616,0.0001684,0.0001684,0.0001684
86,15099.7,0.63511,0.61663,1.0072,0.43567,0.2816,0.32092,0.20115,1.25014,2.55911,1.54402,0.0001585,0.0001585,0.0001585
